symbol,market,cname,ename
TMO,UN,賽默飛世爾科技有限公司,THERMO FISHER SCIENTIFIC INC
WM,UN,廢棄物管理,WASTE MANAGEMENT INC
AEP,UN,美國電力公司,AMERICAN ELECTRIC POWER
BAX,UN,百特醫療產品有限公司,BAXTER INTERNATIONAL INC
CX,UN,西麥斯,CEMEX SAB-SPONS ADR PART CER
DHR,UN,丹納赫集團,DANAHER CORP
DOW,UN,陶氏,DOW INC
F,UN,福特汽車公司,FORD MOTOR CO
JNPR,UN,瞻博網路,JUNIPER NETWORKS INC
LUV,UN,西南航空,SOUTHWEST AIRLINES CO
MMM,UN,3M,3M CO
NOC,UN,諾斯洛普格拉曼,NORTHROP GRUMMAN CORP
NOK,UN,諾基亞,NOKIA CORP-SPON ADR
PAC,UN,Grupo Aeroportuario del Paci,GRUPO AEROPORTUARIO PAC-ADR
PBR,UN,巴西石油公司,PETROLEO BRASILEIRO-SPON ADR
PCG,UN,太平洋電力瓦斯公司,P G & E CORP
TAL,UN,好未來教育集團,TAL EDUCATION GROUP- ADR
TV,UN,特萊維薩集團公司,GRUPO TELEVISA SA-SPON ADR
V,UN,威士卡,VISA INC-CLASS A SHARES
VALE,UN,淡水河谷,VALE SA-SP ADR
VLO,UN,瓦勒羅能源,VALERO ENERGY CORP
ABEV,UN,Ambev SA,AMBEV SA-ADR
BCS,UN,巴克萊集團,BARCLAYS PLC-SPONS ADR
COF,UN,第一資本金融公司,CAPITAL ONE FINANCIAL CORP
ITW,UN,伊利諾工具公司,ILLINOIS TOOL WORKS
KOF,UN,可口可樂芬沙公司,COCA-COLA FEMSA SAB-SP ADR
PSX,UN,菲利普66,PHILLIPS 66
VFC,UN,VF公司,VF CORP
VZ,UN,威瑞森電信公司,VERIZON COMMUNICATIONS INC
IBN,UN,印度工業信貸投資銀行,ICICI BANK LTD-SPON ADR
FMX,UN,Fomento Economico Mexicano S,FOMENTO ECONOMICO MEX-SP ADR
HSBC,UN,匯豐控股有限公司,HSBC HOLDINGS PLC-SPONS ADR
NOV,UN,國民油井華高公司,NOV INC
